Lead_ID,Name,Email_Source,Contacted,Engagement_Score,Location,Profession,Course_Interest,Follow_Up_Count,Converted
L0026,Aditya Iyer,Website,No,63,Kolkata,Student,AI & Deep Learning,0,0
L0027,Aanya Sharma,Referral,No,59,Bangalore,Working Professional,AI & Deep Learning,1,0
L0028,Kunal Mehta,Social Media,Yes,96,Hyderabad,Student,Data Science - Beginner,4,1
L0029,Aarohi Kulkarni,Website,Yes,66,Mumbai,Student,Data Science - Beginner,4,0
L0030,Krishna Naidu,Social Media,Yes,75,Jaipur,Student,Data Science - Beginner,3,1
L0031,Rohan Mehta,Email,Yes,34,Chennai,Student,Machine Learning,3,1
L0032,Aditya Sharma,Referral,Yes,10,Ahmedabad,Student,Machine Learning,1,1
L0033,Aditya Iyer,Email,No,21,Kolkata,Freelancer,Machine Learning,4,0
L0034,Meera Singh,Social Media,Yes,34,Mumbai,Student,Data Science - Advanced,2,1
L0035,Kavya Mehta,Email,Yes,88,Bangalore,Freelancer,AI & Deep Learning,2,0
L0036,Aditya Das,Email,Yes,1,Hyderabad,Student,Machine Learning,1,1
L0037,Meera Das,Walk-in,Yes,15,Mumbai,Freelancer,Data Science - Advanced,4,0
L0038,Diya Chopra,Walk-in,Yes,56,Pune,Student,Machine Learning,2,0
L0039,Diya Mehta,Website,Yes,46,Ahmedabad,Working Professional,Data Science - Advanced,1,0
L0040,Sai Das,Social Media,Yes,95,Hyderabad,Working Professional,Data Science - Advanced,2,0
L0041,Vihaan Naidu,Social Media,No,29,Delhi,Working Professional,Machine Learning,2,0
L0042,Krishna Sharma,Website,No,43,Bangalore,Student,Machine Learning,2,1
L0043,Meera Choudhary,Social Media,Yes,34,Pune,Freelancer,Machine Learning,0,0
L0044,Kavya Das,Email,No,56,Jaipur,Freelancer,Data Science - Beginner,3,0
L0045,Rohan Verma,Referral,Yes,67,Ahmedabad,Freelancer,Data Science - Advanced,2,1
L0046,Aditya Choudhary,Walk-in,No,85,Mumbai,Freelancer,Machine Learning,4,1
L0047,Isha Choudhary,Referral,No,71,Pune,Student,AI & Deep Learning,5,1
L0048,Sai Nair,Walk-in,No,52,Ahmedabad,Student,Machine Learning,2,0
L0049,Isha Chopra,Walk-in,No,60,Kolkata,Working Professional,Data Science - Advanced,4,1
L0050,Sai Patel,Email,No,12,Delhi,Freelancer,Machine Learning,1,0
L0051,Arjun Sharma,Social Media,Yes,61,Jaipur,Student,AI & Deep Learning,3,0
L0052,Aanya Saxena,Referral,Yes,19,Nagpur,Student,AI & Deep Learning,1,0
L0053,Aarohi Pillai,Social Media,Yes,16,Kolkata,Student,AI & Deep Learning,5,1
L0054,Saanvi Nair,Walk-in,No,71,Kolkata,Student,AI & Deep Learning,3,1
L0055,Krishna Khan,Walk-in,No,81,Delhi,Working Professional,AI & Deep Learning,0,1
L0056,Krishna Khan,Email,No,70,Mumbai,Student,Data Science - Advanced,1,1
L0057,Arjun Mehta,Social Media,No,53,Hyderabad,Freelancer,AI & Deep Learning,3,0
L0058,Ishaan Das,Referral,Yes,98,Jaipur,Working Professional,AI & Deep Learning,0,1
L0059,Kunal Naidu,Referral,Yes,63,Delhi,Working Professional,AI & Deep Learning,3,0
L0060,Aanya Choudhary,Referral,Yes,60,Pune,Freelancer,Data Science - Beginner,3,0
L0061,Aditya Das,Website,No,24,Nagpur,Working Professional,AI & Deep Learning,2,0
L0062,Saanvi Choudhary,Email,No,36,Chennai,Working Professional,Data Science - Beginner,3,0
L0063,Meera Verma,Email,Yes,84,Mumbai,Freelancer,Data Science - Beginner,0,0
L0064,Ishaan Sharma,Walk-in,Yes,31,Pune,Working Professional,Data Science - Beginner,4,0
L0065,Saanvi Khan,Email,Yes,78,Jaipur,Freelancer,Data Science - Beginner,1,1
L0066,Vihaan Chopra,Social Media,No,74,Chennai,Working Professional,Data Science - Advanced,0,0
L0067,Vihaan Singh,Walk-in,Yes,73,Nagpur,Working Professional,AI & Deep Learning,5,1
L0068,Aditya Kulkarni,Email,Yes,54,Kolkata,Student,AI & Deep Learning,2,1
L0069,Arjun Das,Website,No,79,Ahmedabad,Working Professional,AI & Deep Learning,3,1
L0070,Ananya Iyer,Social Media,No,58,Delhi,Working Professional,AI & Deep Learning,2,0
L0071,Riya Choudhary,Website,No,28,Hyderabad,Working Professional,Machine Learning,2,1
L0072,Meera Sharma,Walk-in,Yes,11,Delhi,Freelancer,AI & Deep Learning,3,0
L0073,Riya Saxena,Referral,Yes,12,Bangalore,Student,AI & Deep Learning,5,0
L0074,Kunal Chopra,Email,No,71,Ahmedabad,Working Professional,AI & Deep Learning,5,1
L0075,Diya Pillai,Email,No,33,Delhi,Student,Data Science - Advanced,2,0
L0076,Meera Bansal,Website,Yes,95,Kolkata,Working Professional,Machine Learning,0,0
L0077,Kunal Iyer,Email,Yes,39,Nagpur,Freelancer,Data Science - Advanced,2,0
L0078,Vivaan Shetty,Email,Yes,82,Kolkata,Student,Data Science - Beginner,4,1
L0079,Riya Saxena,Referral,No,24,Nagpur,Working Professional,AI & Deep Learning,0,0
L0080,Aanya Saxena,Social Media,Yes,20,Pune,Freelancer,Machine Learning,0,0
L0081,Vihaan Shetty,Referral,Yes,100,Ahmedabad,Working Professional,AI & Deep Learning,3,1
L0082,Shruti Das,Email,Yes,79,Mumbai,Student,Data Science - Advanced,2,0
L0083,Sai Iyer,Website,Yes,21,Nagpur,Working Professional,AI & Deep Learning,5,1
L0084,Kunal Verma,Website,No,91,Bangalore,Freelancer,AI & Deep Learning,0,0
L0085,Rohan Chopra,Website,No,15,Ahmedabad,Student,Data Science - Advanced,2,0
L0086,Aditya Verma,Website,No,77,Jaipur,Working Professional,AI & Deep Learning,0,1
L0087,Kunal Naidu,Email,No,57,Mumbai,Freelancer,Data Science - Beginner,3,1
L0088,Kavya Khan,Social Media,Yes,30,Jaipur,Freelancer,Data Science - Beginner,5,1
L0089,Shruti Verma,Website,No,67,Kolkata,Working Professional,Data Science - Advanced,4,1
L0090,Riya Patel,Referral,No,53,Hyderabad,Working Professional,Data Science - Beginner,1,1
L0091,Isha Saxena,Email,No,98,Ahmedabad,Student,AI & Deep Learning,0,1
L0092,Rohan Choudhary,Social Media,No,66,Nagpur,Freelancer,AI & Deep Learning,3,0
L0093,Ishaan Kulkarni,Email,No,81,Kolkata,Student,Data Science - Advanced,2,0
L0094,Kunal Pillai,Referral,Yes,4,Jaipur,Student,Data Science - Advanced,2,0
L0095,Meera Das,Social Media,Yes,15,Kolkata,Student,Data Science - Advanced,3,1
L0096,Aarohi Khan,Referral,No,61,Delhi,Working Professional,Data Science - Advanced,3,0
L0097,Kavya Kulkarni,Website,Yes,36,Chennai,Working Professional,Machine Learning,0,1
L0098,Kunal Chopra,Walk-in,No,20,Kolkata,Freelancer,AI & Deep Learning,2,1
L0099,Meera Shetty,Referral,No,42,Delhi,Freelancer,Data Science - Advanced,4,1
L0100,Krishna Das,Social Media,No,96,Kolkata,Freelancer,AI & Deep Learning,3,0
L0101,Riya Verma,Website,No,13,Kolkata,Student,AI & Deep Learning,0,0
L0102,Isha Gupta,Social Media,No,34,Hyderabad,Freelancer,AI & Deep Learning,5,0
L0103,Ananya Shetty,Referral,No,81,Kolkata,Freelancer,Data Science - Beginner,4,0
L0104,Krishna Singh,Website,Yes,56,Mumbai,Freelancer,Data Science - Beginner,3,0
L0105,Kunal Sharma,Social Media,No,8,Bangalore,Working Professional,Machine Learning,3,0
L0106,Krishna Kulkarni,Referral,Yes,22,Pune,Student,AI & Deep Learning,4,0
L0107,Riya Chopra,Website,Yes,60,Bangalore,Working Professional,Machine Learning,5,0
L0108,Saanvi Singh,Walk-in,Yes,10,Kolkata,Working Professional,Machine Learning,5,1
L0109,Rohan Pillai,Email,Yes,50,Kolkata,Student,Data Science - Advanced,3,1
L0110,Shruti Singh,Email,Yes,85,Chennai,Working Professional,Data Science - Beginner,4,0
L0111,Kavya Saxena,Email,Yes,78,Hyderabad,Student,Data Science - Advanced,4,1
L0112,Arjun Reddy,Social Media,No,57,Nagpur,Freelancer,Machine Learning,5,0
L0113,Aditya Singh,Email,No,23,Delhi,Student,Machine Learning,4,1
L0114,Sai Khan,Referral,No,96,Hyderabad,Student,AI & Deep Learning,0,0
L0115,Krishna Naidu,Walk-in,No,12,Chennai,Student,Machine Learning,4,0
L0116,Saanvi Joshi,Email,No,82,Hyderabad,Student,Data Science - Advanced,3,0
L0117,Kavya Shetty,Email,Yes,83,Mumbai,Freelancer,AI & Deep Learning,5,1
L0118,Isha Reddy,Website,Yes,5,Bangalore,Working Professional,Data Science - Beginner,0,0
L0119,Meera Gupta,Referral,No,48,Ahmedabad,Working Professional,Data Science - Advanced,3,0
L0120,Riya Nair,Referral,No,5,Hyderabad,Student,AI & Deep Learning,3,0
L0121,Diya Reddy,Email,No,8,Chennai,Working Professional,Data Science - Advanced,0,1
L0122,Aditya Mehta,Walk-in,Yes,7,Hyderabad,Student,Data Science - Advanced,4,0
L0123,Aditya Shetty,Website,Yes,30,Hyderabad,Student,Data Science - Beginner,2,0
L0124,Arjun Shetty,Email,Yes,15,Nagpur,Student,Data Science - Beginner,2,0
L0125,Shruti Choudhary,Social Media,Yes,34,Nagpur,Student,AI & Deep Learning,4,0
L0126,Aditya Saxena,Referral,No,66,Jaipur,Student,AI & Deep Learning,4,0
L0127,Kavya Verma,Walk-in,No,59,Nagpur,Student,AI & Deep Learning,3,1
L0128,Vihaan Saxena,Referral,Yes,11,Hyderabad,Freelancer,Data Science - Advanced,0,0
L0129,Rohan Nair,Walk-in,No,49,Jaipur,Freelancer,Machine Learning,3,1
L0130,Vihaan Reddy,Walk-in,Yes,56,Kolkata,Student,AI & Deep Learning,2,1
L0131,Aanya Das,Social Media,No,55,Hyderabad,Freelancer,Machine Learning,2,0
L0132,Riya Patel,Social Media,Yes,12,Chennai,Student,Machine Learning,1,0
L0133,Shruti Shetty,Walk-in,No,86,Mumbai,Working Professional,Machine Learning,5,1
L0134,Vivaan Singh,Walk-in,No,46,Mumbai,Freelancer,Data Science - Advanced,1,1
L0135,Krishna Reddy,Email,No,15,Bangalore,Freelancer,Data Science - Advanced,3,0
L0136,Kavya Khan,Social Media,Yes,35,Bangalore,Working Professional,Machine Learning,0,0
L0137,Arjun Chopra,Referral,Yes,19,Nagpur,Student,Data Science - Advanced,3,1
L0138,Saanvi Choudhary,Website,No,40,Hyderabad,Freelancer,Data Science - Beginner,0,0
L0139,Sai Nair,Social Media,Yes,35,Kolkata,Freelancer,AI & Deep Learning,3,1
L0140,Isha Khan,Website,Yes,45,Chennai,Student,Machine Learning,5,1
L0141,Aarohi Singh,Social Media,Yes,51,Jaipur,Student,Data Science - Beginner,1,1
L0142,Ishaan Gupta,Email,No,42,Mumbai,Student,AI & Deep Learning,5,1
L0143,Sai Gupta,Referral,Yes,65,Ahmedabad,Freelancer,Machine Learning,0,1
L0144,Vivaan Das,Social Media,No,10,Hyderabad,Freelancer,AI & Deep Learning,4,1
L0145,Isha Singh,Social Media,No,3,Hyderabad,Student,AI & Deep Learning,5,1
L0146,Aditya Das,Social Media,Yes,56,Jaipur,Working Professional,Data Science - Beginner,3,1
L0147,Ananya Iyer,Email,Yes,10,Ahmedabad,Freelancer,Data Science - Beginner,4,0
L0148,Diya Joshi,Website,Yes,14,Pune,Working Professional,Data Science - Advanced,1,0
L0149,Aditya Bansal,Referral,No,97,Jaipur,Freelancer,AI & Deep Learning,5,1
L0150,Ananya Gupta,Referral,Yes,61,Kolkata,Freelancer,Machine Learning,2,0
L0151,Diya Kulkarni,Social Media,No,60,Kolkata,Student,Data Science - Beginner,2,1
L0152,Aditya Patel,Walk-in,No,60,Jaipur,Freelancer,Data Science - Beginner,3,0
L0153,Ananya Nair,Referral,Yes,8,Kolkata,Student,Machine Learning,5,0
L0154,Aarohi Bansal,Social Media,Yes,91,Kolkata,Working Professional,Data Science - Advanced,2,1
L0155,Kunal Naidu,Referral,No,87,Jaipur,Student,Machine Learning,0,1
L0156,Vihaan Shetty,Referral,No,33,Jaipur,Student,Machine Learning,0,0
L0157,Diya Singh,Referral,Yes,77,Mumbai,Working Professional,AI & Deep Learning,5,1
L0158,Arjun Kulkarni,Social Media,No,66,Hyderabad,Student,Machine Learning,2,0
L0159,Ishaan Choudhary,Referral,Yes,29,Pune,Student,Data Science - Beginner,2,0
L0160,Aarohi Shetty,Walk-in,Yes,85,Hyderabad,Freelancer,Data Science - Advanced,4,1
L0161,Arjun Bansal,Website,Yes,93,Kolkata,Student,AI & Deep Learning,2,0
L0162,Saanvi Nair,Email,No,30,Ahmedabad,Student,Machine Learning,3,0
L0163,Diya Chopra,Referral,No,99,Bangalore,Working Professional,AI & Deep Learning,1,0
L0164,Kavya Gupta,Email,Yes,83,Kolkata,Working Professional,Data Science - Beginner,5,0
L0165,Kunal Patel,Website,No,58,Ahmedabad,Student,AI & Deep Learning,0,0
L0166,Saanvi Joshi,Social Media,No,7,Chennai,Freelancer,Machine Learning,1,1
L0167,Aditya Joshi,Website,Yes,41,Mumbai,Freelancer,Machine Learning,1,0
L0168,Vivaan Singh,Referral,Yes,98,Kolkata,Working Professional,Data Science - Beginner,0,0
L0169,Rohan Mehta,Website,No,15,Bangalore,Student,Machine Learning,0,0
L0170,Krishna Das,Walk-in,No,9,Mumbai,Working Professional,Data Science - Beginner,5,0
L0171,Arjun Singh,Referral,Yes,79,Hyderabad,Student,AI & Deep Learning,1,0
L0172,Aarohi Joshi,Social Media,Yes,50,Kolkata,Student,AI & Deep Learning,2,1
L0173,Aarav Joshi,Social Media,No,31,Mumbai,Freelancer,Machine Learning,1,0
L0174,Diya Shetty,Email,Yes,100,Kolkata,Freelancer,AI & Deep Learning,5,0
L0175,Arjun Patel,Referral,Yes,38,Delhi,Student,Data Science - Advanced,0,1
L0176,Kunal Kulkarni,Referral,No,33,Nagpur,Freelancer,Data Science - Advanced,2,1
L0177,Vivaan Choudhary,Email,Yes,48,Chennai,Working Professional,AI & Deep Learning,3,1
L0178,Sai Saxena,Referral,No,67,Bangalore,Student,AI & Deep Learning,0,1
L0179,Kavya Bansal,Walk-in,No,42,Mumbai,Student,Machine Learning,5,1
L0180,Kunal Pillai,Walk-in,No,22,Kolkata,Working Professional,AI & Deep Learning,0,1
L0181,Kavya Das,Email,Yes,10,Chennai,Working Professional,Data Science - Advanced,0,0
L0182,Kavya Pillai,Social Media,Yes,9,Delhi,Freelancer,Machine Learning,2,1
L0183,Shruti Verma,Walk-in,Yes,87,Kolkata,Working Professional,Machine Learning,3,0
L0184,Shruti Gupta,Walk-in,No,51,Hyderabad,Freelancer,Machine Learning,1,0
L0185,Aarav Bansal,Referral,No,72,Mumbai,Working Professional,Machine Learning,5,1
L0186,Ishaan Nair,Email,No,26,Mumbai,Student,Data Science - Beginner,3,0
L0187,Saanvi Patel,Email,No,91,Mumbai,Freelancer,Machine Learning,2,0
L0188,Sai Joshi,Walk-in,Yes,16,Delhi,Student,Data Science - Advanced,3,0
L0189,Diya Shetty,Walk-in,No,60,Ahmedabad,Student,Data Science - Beginner,0,1
L0190,Aanya Saxena,Walk-in,No,99,Chennai,Freelancer,Data Science - Beginner,1,1
L0191,Aditya Pillai,Referral,No,17,Ahmedabad,Freelancer,Data Science - Advanced,1,1
L0192,Aarohi Verma,Social Media,Yes,39,Pune,Student,Machine Learning,5,0
L0193,Diya Kulkarni,Email,Yes,33,Delhi,Freelancer,Machine Learning,1,1
L0194,Kavya Shetty,Social Media,Yes,76,Jaipur,Student,Data Science - Advanced,5,1
L0195,Shruti Verma,Social Media,Yes,6,Jaipur,Working Professional,Data Science - Advanced,4,1
L0196,Kavya Sharma,Referral,No,83,Bangalore,Working Professional,Data Science - Advanced,5,1
L0197,Kunal Pillai,Social Media,Yes,21,Kolkata,Working Professional,AI & Deep Learning,3,0
L0198,Ananya Nair,Website,No,92,Hyderabad,Freelancer,Machine Learning,3,0
L0199,Diya Kulkarni,Walk-in,Yes,41,Delhi,Working Professional,Data Science - Beginner,2,1
L0200,Krishna Gupta,Social Media,Yes,38,Chennai,Freelancer,AI & Deep Learning,1,0
L0201,Ananya Chopra,Email,Yes,98,Pune,Working Professional,AI & Deep Learning,3,1
L0202,Riya Sharma,Social Media,No,65,Kolkata,Student,Data Science - Advanced,4,1
L0203,Vivaan Verma,Email,No,77,Kolkata,Working Professional,Data Science - Beginner,0,1
L0204,Arjun Khan,Email,No,47,Nagpur,Working Professional,Data Science - Beginner,4,0
L0205,Diya Shetty,Email,Yes,50,Ahmedabad,Working Professional,Machine Learning,4,0
L0206,Arjun Reddy,Referral,No,44,Ahmedabad,Working Professional,Data Science - Advanced,1,1
L0207,Aarohi Verma,Social Media,Yes,18,Hyderabad,Working Professional,AI & Deep Learning,1,0
L0208,Ananya Nair,Email,Yes,51,Jaipur,Freelancer,Machine Learning,4,1
L0209,Aarohi Kulkarni,Walk-in,No,91,Jaipur,Working Professional,AI & Deep Learning,0,1
L0210,Ananya Reddy,Referral,No,93,Nagpur,Freelancer,AI & Deep Learning,2,0
L0211,Vivaan Chopra,Referral,Yes,68,Jaipur,Working Professional,Data Science - Advanced,5,0
L0212,Vivaan Chopra,Social Media,Yes,3,Kolkata,Working Professional,AI & Deep Learning,1,1
L0213,Ishaan Das,Walk-in,No,95,Nagpur,Freelancer,Data Science - Advanced,4,0
L0214,Meera Choudhary,Referral,No,41,Pune,Working Professional,Machine Learning,4,1
L0215,Rohan Nair,Referral,Yes,32,Bangalore,Freelancer,Machine Learning,1,1
L0216,Kunal Mehta,Referral,No,62,Hyderabad,Freelancer,Machine Learning,2,0
L0217,Shruti Shetty,Referral,No,45,Pune,Working Professional,Data Science - Beginner,2,0
L0218,Diya Pillai,Email,No,28,Delhi,Freelancer,Machine Learning,4,1
L0219,Arjun Reddy,Walk-in,Yes,32,Nagpur,Freelancer,Data Science - Advanced,5,0
L0220,Vivaan Reddy,Referral,No,92,Kolkata,Student,Data Science - Advanced,0,0
L0221,Isha Saxena,Referral,Yes,97,Bangalore,Working Professional,Machine Learning,5,0
L0222,Aditya Chopra,Website,Yes,23,Chennai,Student,Data Science - Beginner,3,1
L0223,Sai Singh,Social Media,Yes,39,Jaipur,Freelancer,Data Science - Beginner,2,1
L0224,Saanvi Shetty,Walk-in,No,18,Ahmedabad,Working Professional,Machine Learning,1,0
L0225,Ananya Bansal,Referral,No,92,Pune,Student,Machine Learning,2,0
L0226,Sai Nair,Referral,No,66,Hyderabad,Student,AI & Deep Learning,5,0
L0227,Sai Gupta,Referral,No,32,Nagpur,Working Professional,AI & Deep Learning,1,1
L0228,Rohan Choudhary,Email,Yes,34,Hyderabad,Freelancer,Data Science - Advanced,0,0
L0229,Saanvi Singh,Website,No,88,Ahmedabad,Freelancer,Machine Learning,5,0
L0230,Kunal Joshi,Walk-in,Yes,29,Pune,Working Professional,Data Science - Advanced,3,1
L0231,Isha Shetty,Referral,Yes,98,Delhi,Freelancer,Data Science - Beginner,4,1
L0232,Aarohi Joshi,Social Media,Yes,8,Ahmedabad,Freelancer,Data Science - Advanced,4,0
L0233,Sai Choudhary,Walk-in,No,15,Delhi,Freelancer,AI & Deep Learning,0,1
L0234,Vivaan Pillai,Website,No,59,Jaipur,Student,AI & Deep Learning,5,1
L0235,Aarav Naidu,Email,Yes,96,Delhi,Freelancer,Data Science - Beginner,0,1
L0236,Diya Patel,Walk-in,Yes,9,Kolkata,Student,Machine Learning,3,0
L0237,Arjun Das,Email,No,58,Chennai,Working Professional,Data Science - Beginner,5,0
L0238,Diya Reddy,Website,No,68,Pune,Freelancer,Data Science - Advanced,0,0
L0239,Kunal Pillai,Walk-in,No,69,Chennai,Student,Data Science - Advanced,3,1
L0240,Arjun Khan,Website,Yes,5,Chennai,Freelancer,Data Science - Beginner,1,0
L0241,Aditya Reddy,Walk-in,Yes,58,Jaipur,Freelancer,Data Science - Beginner,1,0
L0242,Aanya Pillai,Website,Yes,97,Nagpur,Student,Machine Learning,1,1
L0243,Shruti Nair,Email,Yes,39,Pune,Freelancer,Data Science - Advanced,3,1
L0244,Rohan Verma,Walk-in,Yes,81,Chennai,Freelancer,AI & Deep Learning,0,1
L0245,Aanya Kulkarni,Email,No,53,Pune,Working Professional,AI & Deep Learning,1,1
L0246,Krishna Iyer,Email,Yes,60,Nagpur,Freelancer,AI & Deep Learning,3,0
L0247,Aanya Iyer,Email,Yes,43,Mumbai,Working Professional,Machine Learning,0,0
L0248,Vivaan Khan,Referral,Yes,10,Delhi,Freelancer,Data Science - Advanced,3,0
L0249,Ananya Singh,Social Media,Yes,25,Mumbai,Freelancer,AI & Deep Learning,1,0
L0250,Aanya Iyer,Walk-in,No,100,Bangalore,Working Professional,AI & Deep Learning,4,1
L0251,Kunal Khan,Email,No,60,Mumbai,Freelancer,AI & Deep Learning,2,0
L0252,Diya Choudhary,Referral,Yes,73,Delhi,Freelancer,Data Science - Advanced,0,1
L0253,Meera Chopra,Walk-in,No,38,Pune,Student,Machine Learning,1,1
L0254,Shruti Iyer,Referral,No,33,Kolkata,Freelancer,AI & Deep Learning,3,0
L0255,Diya Bansal,Website,No,24,Ahmedabad,Freelancer,Data Science - Beginner,4,0
L0256,Aditya Verma,Social Media,No,18,Delhi,Student,Data Science - Advanced,0,0
L0257,Aarohi Pillai,Email,Yes,80,Jaipur,Working Professional,AI & Deep Learning,0,0
L0258,Meera Shetty,Referral,Yes,3,Ahmedabad,Freelancer,Machine Learning,4,1
L0259,Aarav Kulkarni,Referral,Yes,14,Mumbai,Freelancer,Data Science - Advanced,1,0
L0260,Kavya Kulkarni,Email,No,35,Chennai,Student,Machine Learning,3,1
L0261,Shruti Iyer,Website,No,88,Mumbai,Freelancer,Data Science - Beginner,0,1
L0262,Aanya Naidu,Walk-in,No,8,Nagpur,Freelancer,Data Science - Advanced,0,1
L0263,Isha Choudhary,Walk-in,Yes,68,Nagpur,Student,Data Science - Advanced,5,1
L0264,Rohan Verma,Social Media,No,70,Jaipur,Freelancer,Data Science - Beginner,1,1
L0265,Aarav Mehta,Walk-in,Yes,97,Chennai,Student,Machine Learning,1,0
L0266,Shruti Naidu,Walk-in,No,50,Pune,Freelancer,Data Science - Beginner,4,1
L0267,Vivaan Reddy,Referral,Yes,10,Hyderabad,Freelancer,AI & Deep Learning,2,0
L0268,Rohan Pillai,Referral,Yes,46,Ahmedabad,Working Professional,AI & Deep Learning,1,1
L0269,Aditya Nair,Email,Yes,92,Mumbai,Student,Machine Learning,1,1
L0270,Arjun Naidu,Email,No,14,Mumbai,Student,Machine Learning,3,1
L0271,Rohan Reddy,Website,Yes,24,Chennai,Working Professional,AI & Deep Learning,0,0
L0272,Aditya Joshi,Walk-in,Yes,77,Jaipur,Working Professional,AI & Deep Learning,0,1
L0273,Isha Naidu,Social Media,Yes,74,Ahmedabad,Student,AI & Deep Learning,1,0
L0274,Rohan Singh,Email,No,19,Mumbai,Student,AI & Deep Learning,2,1
L0275,Kunal Saxena,Social Media,No,33,Delhi,Freelancer,AI & Deep Learning,4,0
L0276,Saanvi Reddy,Website,No,1,Chennai,Working Professional,AI & Deep Learning,2,1
L0277,Ananya Das,Walk-in,Yes,39,Hyderabad,Freelancer,Data Science - Advanced,3,1
L0278,Sai Naidu,Email,No,95,Kolkata,Freelancer,Data Science - Advanced,2,1
L0279,Rohan Naidu,Email,Yes,73,Delhi,Freelancer,Data Science - Advanced,5,0
L0280,Saanvi Mehta,Referral,No,89,Mumbai,Working Professional,AI & Deep Learning,1,1
L0281,Krishna Khan,Website,No,49,Mumbai,Working Professional,AI & Deep Learning,4,1
L0282,Meera Kulkarni,Referral,Yes,47,Ahmedabad,Freelancer,Data Science - Beginner,0,0
L0283,Diya Bansal,Walk-in,Yes,73,Chennai,Working Professional,AI & Deep Learning,0,0
L0284,Vihaan Khan,Website,Yes,58,Hyderabad,Working Professional,AI & Deep Learning,5,0
L0285,Diya Sharma,Referral,Yes,38,Chennai,Student,Data Science - Beginner,5,0
L0286,Diya Singh,Email,No,27,Ahmedabad,Working Professional,Machine Learning,3,0
L0287,Saanvi Pillai,Email,Yes,39,Nagpur,Freelancer,Data Science - Beginner,0,1
L0288,Vihaan Bansal,Website,Yes,71,Pune,Working Professional,AI & Deep Learning,3,0
L0289,Aanya Bansal,Website,No,51,Nagpur,Freelancer,Data Science - Advanced,3,1
L0290,Aanya Sharma,Website,Yes,36,Mumbai,Freelancer,Data Science - Beginner,4,0
L0291,Diya Choudhary,Website,No,15,Bangalore,Freelancer,AI & Deep Learning,4,1
L0292,Kavya Naidu,Walk-in,No,76,Mumbai,Working Professional,Machine Learning,3,0
L0293,Kunal Nair,Walk-in,Yes,87,Pune,Working Professional,Data Science - Beginner,1,1
L0294,Vihaan Bansal,Email,Yes,66,Chennai,Working Professional,Data Science - Advanced,4,1
L0295,Isha Bansal,Referral,Yes,72,Pune,Working Professional,Machine Learning,1,0
L0296,Ananya Pillai,Walk-in,Yes,46,Nagpur,Working Professional,Data Science - Advanced,1,1
L0297,Meera Kulkarni,Referral,No,88,Kolkata,Working Professional,AI & Deep Learning,3,0
L0298,Aditya Chopra,Social Media,Yes,38,Nagpur,Working Professional,Data Science - Advanced,4,1
L0299,Sai Pillai,Walk-in,No,71,Ahmedabad,Student,Data Science - Beginner,2,1
L0300,Meera Verma,Referral,Yes,55,Mumbai,Freelancer,Data Science - Advanced,2,0
